, 42160 692  511   31 ILULISSAT/JAKOBSHAVN GREENLAND     17842013
117,1901 -206  -54 -142 -111  -21   23   65   54   24  -52  -47 -104
118,1902 -170 -149 -193  -82    5   51   80   76   27  -16  -89 -145
119,1903 -153 -196 -214  -91   -8   39   78   45   33   -9  -81  -58
120,1904 -181 -183 -173 -135   10   51   73   86   17  -81  -86  -83
121,1905 -204 -179  -96  -15   11   37   79   63   -1  -12  -61 -151
122,1906 -219 -234 -189 -124   10   40   78   93   32  -42 -117 -128
123,1907 -200 -205 -218 -141  -17   42   78   65   19   -6 -107  -99
124,1908 -163 -206 -109  -42   -2   44  101   56   47  -56  -79 -128
125,1909 -247 -149  -89  -72   21   61   74   54   33  -74  -72 -182
126,1910 -256 -255 -202  -91   -1   25   71   83   14  -33 -115 -128
127,1911 -185 -270 -154  -64    1   40   77   66   19  -11  -71 -139
128,1912 -107 -103 -139  -58    8   66   67   72   31  -57  -75 -111
129,1913 -131 -116 -187 -118   -2   55   63   48   30  -19 -125 -147
130,1914 -191 -252 -202 -126  -37    9   66   53    5  -24  -76 -168
131,1915 -202 -222 -188 -120   19   47   62   65   57  -19  -46  -85
132,1916 -143 -149  -29 -115   35   34   60   85   42  -40  -60 -100
133,1917 -158 -160  -87  -79  -21   22   75   72   24  -78 -112 -157
134,1918 -248 -205 -168 -140   -1    8   60   61   20  -56 -131 -145
135,1919 -181 -217 -132 -169   19   14   55   49   15   -5  -49 -103
136,1920 -200 -199 -179  -60  -16   53   68   49   13  -54 -123 -124
137,1921 -171 -207 -173 -122    2   40   73   71   16  -50  -49 -129
138,1922 -173 -278 -146  -76  -21   21   67   49    8  -10  -81  -87
139,1923 -202 -142 -127  -34    5   49   72   64   12  -40  -59  -92
140,1924  -98 -161 -109  -51   17   64   64   51    8  -57  -77 -165
141,1925 -217 -185 -112 -100   -5   38   48   51   33  -35  -46  -66
142,1926 -111 -143 -147  -79   11   66   88   59   22  -23  -73 -107
143,1927 -107 -151 -183  -89   12   50   63   69   47  -36  -76  -65
144,1928 -112 -151  -52  -53   21   64   78   84   51   -6  -61  -87
145,1929  -29  -64  -54  -50   18   40   80   69   12  -56  -76 -113
146,1930 -145 -121  -71  -43   13   37   78   67   50  -40  -85 -107
147,1931  -87 -140 -171  -94   13   75   99   82   53  -33 -111 -107
148,1932 -181  -37  -40  -58   38   55   76   47   27  -30  -95 -120
149,1933 -183  -96 -120  -98   44   38   86   71   13  -29  -54  -64
150,1934 -127 -165 -147  -61  -17   44   82   61   26  -38  -56  -63
151,1935 -128 -194  -94  -46    8   65   80   65   47  -32  -66  -84
152,1936  -83  -81 -112  -39   16   47   94   60   28  -40  -57 -136
153,1937 -175 -161  -65 -115   -3   37   80   62   31  -47  -33 -105
154,1938 -175 -163 -164  -98    2   32   69   69   24  -46 -107 -136
155,1939  -94 -189 -140  -34   20   46   82   47   43   -3  -80  -96
156,1940 -126  -94 -114  -52    1   39   88   44   16  -32  -77  -72
157,1941  -84  -86  -80  -38    9   44   66   85   31   15  -65 -102
158,1942 -118 -155 -111  -88   31   57   70   54   23  -45  -56  -78
159,1943  -69 -164 -152  -99  -11   47   72   60   21  -62  -83  -89
160,1944 -173 -127 -145  -48  -20   49   65   61   20  -44 -106 -119
161,1945  -89 -192 -111 -108  -14   51   62   68   16   -9  -74  -73
162,1946 -139 -118  -74 -102   30   60   61   60   31  -13  -47  -69
163,1947  -71  -50  -66  -63   18   64   73   59   14  -32  -53  -84
164,1948 -111 -119 -162  -79  -10   75   92   61   25  -37  -80 -158
165,1949 -177 -224 -134 -141    1   67   89   58   16  -32  -82 -112
166,1950 -179 -202 -135 -120    3   58   84   63   26  -40  -77  -65
